issue_id,status,scope,issue_type,affected_pathway,process_stage,linked_instruments,severity_score,frequency_score,legal_risk_score,delay_impact_score,fixability_score,summary,verification_state,confidence
ISSUE-001,Open,Cross-authority,Ambiguity,Housing,Committee,"LEG-ENG-1990-TCPA|POL-ENG-NPPF|POL-ENG-PPG",4,5,3,4,4,"Unclear weight between strategic housing need and local restrictive criteria leads to inconsistent refusals and appeals.",verified,medium
ISSUE-002,Open,Cross-authority,Process Delay,Mixed,Validation,"LEG-ENG-2015-DMPO|POL-ENG-DMPO-GUIDANCE",4,4,2,5,5,"Validation requirements differ materially between LPAs, creating repeat submissions and front-end delay.",verified,high
ISSUE-003,Open,Authority-specific,Duplication,Commercial,Pre-application,"PLN-NEW-LOCAL-2018|POL-ENG-NPPF",3,3,2,3,4,"Local plan and supplementary guidance repeat overlapping design tests with slight wording differences, causing officer interpretation drift.",verified,medium
ISSUE-004,Open,National,Restriction,Infrastructure,Consultation,"LEG-ENG-2017-HABITATS|LEG-ENG-2017-EIA|POL-ENG-NPS-EN1",5,3,4,5,2,"Environmental assessment sequencing often duplicates evidence requests across regimes, extending determination timelines.",verified,high
ISSUE-005,Open,Cross-authority,Contradiction,Housing,Pre-application,"LEG-ENG-2023-LURA|POL-ENG-NPPF",4,3,3,4,3,"Transitional policy periods create uncertainty where emerging local plans are given differing weight across authorities.",verified,medium
ISSUE-006,Open,National,Process Delay,Mixed,Validation,"LEG-ENG-2015-DMPO|POL-ENG-PPG",3,5,1,4,5,"No nationally consistent required-document checklist means validation officers apply local interpretation, generating avoidable invalid notices.",verified,high
ISSUE-007,Open,Cross-authority,Ambiguity,Housing,Pre-application,"POL-ENG-PPG-06-HOUSING|POL-ENG-PPG-08-HELAA",4,4,3,3,3,"Housing needs assessment methodologies vary between neighbouring authorities, producing incompatible housing land supply figures that undermine cross-boundary cooperation.",verified,medium
ISSUE-008,Open,National,Contradiction,Housing,Committee,"LEG-ENG-2023-LURA|LEG-ENG-1990-TCPA|POL-ENG-NPPF",4,4,4,4,2,"LURA 2023 plan-making provisions not yet fully commenced, creating a dual-track system where authorities operate under transitional rules of varying vintage.",verified,high
ISSUE-009,Open,Authority-specific,Restriction,Mixed,Legal Agreements,"LEG-ENG-2010-CIL|LEG-ENG-1990-TCPA",4,4,3,5,3,"Section 106 negotiation timelines are unregulated post-resolution, causing delays of 6-18 months between committee approval and legal completion.",verified,high
ISSUE-010,Open,Cross-authority,Duplication,Infrastructure,Consultation,"LEG-ENG-2015-DMPO|LEG-ENG-2017-EIA",3,4,2,4,4,"Statutory consultee responses overlap in scope between highway authority, Environment Agency, and Historic England, with no coordination protocol to prevent contradictory requirements.",verified,medium
