pilot_id,lpa_name,lat,lng
LPA-01,Manchester City Council,53.4808,-2.2426
LPA-02,Oxford City Council,51.7520,-1.2577
LPA-03,South Cambridgeshire District Council,52.1963,0.1218
LPA-04,Cornwall Council,50.2660,-5.0527
LPA-05,Newham London Borough Council,51.5077,0.0469
LPA-06,Kent County Council,51.2787,0.5217
LPA-07,Leeds City Council,53.8008,-1.5491
LPA-08,Bristol City Council,51.4545,-2.5879
LPA-09,Guildford Borough Council,51.2365,-0.5703
LPA-10,Newcastle City Council,54.9783,-1.6178
LPA-11,Peak District National Park Authority,53.2970,-1.7400
LPA-12,Northumberland County Council,55.2082,-2.0784
LPA-13,Southampton City Council,50.9097,-1.4044
LPA-14,Leicester City Council,52.6369,-1.1398
LPA-15,Cambridge City Council,52.2053,0.1218
LPA-16,Medway Council,51.3927,0.5390
