stage_id,process_stage,pathway,median_delay_weeks,delay_driver,frequency,severity,linked_issues,source_evidence,notes
BN-001,Pre-application,Housing,4,Policy interpretation uncertainty between national and local requirements,High,Medium,ISSUE-001|ISSUE-005|ISSUE-007|ISSUE-014,BAS-001|BAS-003,Developers spend 2-6 weeks seeking pre-app clarity that should be resolvable from policy alone
BN-002,Pre-application,Infrastructure,12,NSIP track determination and pre-app consultation scoping,Medium,High,ISSUE-018|ISSUE-021,BAS-005,NSIP pre-app process adds 12-24 months before submission; even smaller schemes face full requirements
BN-003,Validation,Mixed,3,Inconsistent LPA validation checklists causing invalid notices and resubmission,High,High,ISSUE-002|ISSUE-006,BAS-007,Estimated 10-15% of submissions returned; each resubmission adds 2-4 weeks minimum
BN-004,Validation,Infrastructure,5,EIA screening and scoping disputes delaying formal submission,Medium,Medium,ISSUE-004|ISSUE-015,BAS-004,EIA scoping requests average 5 weeks to resolve; screening opinions average 3 weeks
BN-005,Consultation,Mixed,4,Statutory consultee non-response or late response,High,High,ISSUE-010|ISSUE-017,BAS-006,Estimated 30-40% of consultations extended beyond 21 days; each extension adds 2-6 weeks
BN-006,Consultation,Infrastructure,8,Duplicate EIA and HRA evidence requests from separate consultee regimes,Medium,High,ISSUE-004|ISSUE-011,BAS-004|BAS-005,Overlapping ecological survey requirements double applicant cost and extend pre-determination period
BN-007,Committee,Housing,2,Policy-weight disputes leading to referral or deferral,Medium,Medium,ISSUE-001|ISSUE-008|ISSUE-022,BAS-003,Ambiguity on tilted balance and transitional policy leads to committee deferrals and officer report rewrites
BN-008,Committee,Commercial,2,Transport assessment scope disputes requiring late amendment,Medium,Low,ISSUE-013,BAS-001,Highway authority scope disagreements surface at committee stage after consultation has closed
BN-009,Legal Agreements,Housing,26,Unregulated s106 negotiation after resolution,High,High,ISSUE-009|ISSUE-019,BAS-003,Median s106 completion delay 9-18 months; no statutory backstop on negotiation duration
BN-010,Legal Agreements,Mixed,12,Viability re-assessment reopening plan-stage obligations,Medium,High,ISSUE-016,BAS-003,Viability renegotiation on allocated sites adds 6-18 months and reduces affordable housing delivery
BN-011,Condition Discharge,Mixed,16,No statutory determination period for condition discharge applications,High,High,ISSUE-012|ISSUE-020,BAS-002,Condition discharge routinely takes 3-12 months; post-permission holding costs block site start
BN-012,Condition Discharge,Infrastructure,20,Complex pre-commencement conditions on NSIP consents requiring multiple approvals,Medium,High,ISSUE-018,BAS-005,NSIP consents carry extensive pre-commencement requirements; discharge co-ordination lacking
